model,threshold,accuracy,precision,recall,f1,roc_auc
Random Forest,0.53,0.7955271565495208,0.6713286713286714,0.44949832775919735,0.5384615384615384,0.8360981802109148
Random Forest,0.54,0.7928647497337593,0.6708333333333333,0.4307692307692308,0.5246435845213849,0.8360981802109148
Random Forest,0.55,0.791089811856585,0.673202614379085,0.4133779264214047,0.5122254455035226,0.8360981802109148
Random Forest,0.56,0.7900248491302805,0.6793103448275862,0.39531772575250834,0.4997885835095137,0.8360981802109148
Random Forest,0.57,0.7893148739794107,0.684652278177458,0.38193979933110367,0.49033920137398024,0.8360981802109148
Random Forest,0.58,0.7891373801916933,0.6930817610062893,0.368561872909699,0.4812227074235808,0.8360981802109148
Random Forest,0.59,0.788604898828541,0.6984334203655352,0.35785953177257523,0.4732419283502875,0.8360981802109148
Random Forest,0.6,0.7891373801916933,0.7082767978290366,0.3491638795986622,0.46774193548387094,0.8360981802109148
Random Forest,0.61,0.7875399361022364,0.7098591549295775,0.33712374581939797,0.45714285714285713,0.8360981802109148
Random Forest,0.62,0.7871849485268015,0.7157434402332361,0.328428093645485,0.45025217790004585,0.8360981802109148
Random Forest,0.63,0.7868299609513667,0.7261538461538461,0.3157190635451505,0.4400932400932401,0.8360981802109148
Random Forest,0.64,0.7866524671636492,0.7359098228663447,0.305685618729097,0.43194706994328924,0.8360981802109148
Random Forest,0.65,0.7841675541356052,0.7352445193929174,0.29163879598662207,0.41762452107279696,0.8360981802109148
Random Forest,0.66,0.7838125665601704,0.7468805704099821,0.2802675585284281,0.4075875486381323,0.8360981802109148
Random Forest,0.67,0.7820376286829961,0.7495327102803738,0.2682274247491639,0.39507389162561574,0.8360981802109148
Random Forest,0.68,0.7809726659566916,0.7553816046966731,0.2581939799331104,0.3848454636091725,0.8360981802109148
Random Forest,0.69,0.7790202342917998,0.757201646090535,0.24615384615384617,0.37152953054013127,0.8360981802109148
Random Forest,0.7,0.7768903088391906,0.7575757575757576,0.23411371237458195,0.35769034236075625,0.8360981802109148
Random Forest,0.71,0.7740504082357117,0.7581395348837209,0.2180602006688963,0.3387012987012987,0.8360981802109148
Random Forest,0.72,0.7713880014199503,0.7647058823529411,0.2,0.3170731707317073,0.8360981802109148
Random Forest,0.73,0.7692580759673412,0.7642276422764228,0.18862876254180602,0.30257510729613735,0.8360981802109148
Random Forest,0.74,0.7687255946041889,0.7742857142857142,0.18127090301003346,0.29376693766937667,0.8360981802109148
Random Forest,0.75,0.7674831380901669,0.7846153846153846,0.1705685618729097,0.2802197802197802,0.8360981802109148
Random Forest,0.76,0.7637557685481008,0.7733333333333333,0.1551839464882943,0.2584958217270195,0.8360981802109148
Random Forest,0.77,0.7614483493077743,0.7706093189964157,0.14381270903010032,0.24239007891770012,0.8360981802109148
Random Forest,0.78,0.7610933617323393,0.7876447876447876,0.13645484949832776,0.23261117445838084,0.8360981802109148
Random Forest,0.79,0.7603833865814696,0.8111587982832618,0.12642140468227425,0.21875,0.8360981802109148
Random Forest,0.8,0.7575434859779908,0.8115942028985508,0.11237458193979934,0.19741480611045828,0.8360981802109148
Random Forest,0.81,0.7566560170394037,0.8297872340425532,0.10434782608695652,0.18538324420677363,0.8360981802109148
Random Forest,0.82,0.7550585729499467,0.8484848484848485,0.09364548494983277,0.1686746987951807,0.8360981802109148
Random Forest,0.83,0.7527511537096202,0.8445945945945946,0.08361204013377926,0.15216068167985392,0.8360981802109148
Random Forest,0.84,0.7516861909833156,0.8478260869565217,0.0782608695652174,0.14329454990814453,0.8360981802109148
Random Forest,0.85,0.7497337593184239,0.8512396694214877,0.06889632107023412,0.12747524752475248,0.8360981802109148
Random Forest,0.86,0.7483138090166844,0.8468468468468469,0.06287625418060201,0.11706102117061021,0.8360981802109148
Random Forest,0.87,0.7463613773517926,0.84375,0.05418060200668896,0.10182275298554368,0.8360981802109148
Random Forest,0.88,0.7452964146254881,0.8571428571428571,0.048160535117056855,0.09119696010132995,0.8360981802109148
Random Forest,0.89,0.7436989705360313,0.84,0.042140468227424746,0.08025477707006369,0.8360981802109148
Random Forest,0.9,0.7421015264465743,0.85,0.03411371237458194,0.06559485530546624,0.8360981802109148
Gradient Boosting,0.1,0.6210507632232872,0.40675990675990675,0.9337792642140468,0.5666734321087883,0.84714902942158
